MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"2888/01","Risk Management Programme","Custom","Best Health Foods Limited","","9429042015352","Registered","2021-10-19","","AsureQuality Limited","No","","","","","118 Hayton Road, Wigram","Christchurch","Christchurch City Council","1","Christchurch City Council","2888","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Colostrum products, Dairy products, Milk powders, Nutritional powders excl IF & FOF, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Formulation;Non-refrigerated storage (processes & receives external product);Packing/repacking;Product Development;Repacking (product not exposed);Transport, Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Product Development, Repacking (product not exposed), Transport",""
"289/01","Risk Management Programme","Custom","Melody Dairies GP Limited","","9429047090293","Registered","2022-05-02","","Ministry for Primary Industries - Verification Services","No","","","","","12 Melody Lane,Ruakura Road","Hamilton","Hamilton City Council","1","Hamilton City Council","289","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption, Sensitive Populations","Animal products (non-dairy), Colostrum products, Dairy products, Milk & cream, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Speciality powders, Whey products","","Blending/mixing, Concentration, Concentration;Drying/reduction of water activity;Evaporation;Labelling;Non-refrigerated storage (processes & receives external product);Packing/repacking;Separation;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity, Evaporation, Formulation, Non-refrigerated storage (processes & receives external product), Thermal processing other than in-container retorting/UHT",""
"2BIRDSLTD/01","Risk Management Programme","Eggs","Two Bird Eggs Limited","","9429051715762","Registered","2023-11-27","","VeritAg Limited","No","","","","","149 Loburn Whiterock Road","Loburn","Waimakariri District Council","1","Waimakariri District Council","N/A","N/A","Human Consumption","Eggs","Harvesting","Transport",""
"2OMEGA/01","Risk Management Programme","Eggs","Charles Wayne and Sandra Rosemary Watkins","","","Registered","2022-01-26","","Ministry for Primary Industries - Verification Services","No","","","","","873 Whangaripo Valley Road","Wellsford","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Washing",""
"3005/01","Risk Management Programme","Custom","Apollo Foods Limited","","9429030170117","Registered","2022-11-11","","AsureQuality Limited","No","","","","","127 Te Ara Kahikatea, Whakatu","Hastings","Hastings District Council","1","Hastings District Council","3005","N/A","Animal Consumption, Human Consumption","Dairy products, Milk & cream, Milk & cream based formulations","","Formulation, Formulation;Ultra-High Temperature, Ultra-High Temperature",""
"32GARY/01","Risk Management Programme","Dual operator butcher","The Shores Limited","Waiuku Village Butchery","9429047613652","Registered","2019-12-06","","Ministry for Primary Industries - Verification Services","No","","","","","32 Queen Street","Waiuku","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Poultry, Red meat","","Dual Operator butchering, Formulation, Formulation;Refrigeration;Size reduction;Smoking;Thermal processing other than in-container retorting/UHT, Refrigeration, Salting/curing/brining, Size reduction, Smoking, Thermal processing other than in-container retorting/UHT",""
"3333/01","Risk Management Programme","Custom","Bodco Limited","","9429041401149","Registered","2023-02-21","","AsureQuality Limited","No","","","","","6-10 Kaimiro Street, Pukete","Hamilton","Hamilton City Council","1","Hamilton City Council","3333","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption, Sensitive Populations","Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF","","Blending/mixing, Formulation, Labelling, Non-refrigerated storage (processes & receives external product)",""
"342MFRWPL/01","Risk Management Programme","Chicken producers","Westbrook Poultry Limited","","9429036904013","Registered","2023-10-06","","VeritAg Limited","No","","","","","342 Mercer Ferry Road, RD 1","Tuakau","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Broiler (meat) chickens","Chicken producer","",""
"368/01","Risk Management Programme","Dairy Products","Align Foods Limited","","9429047509641","Registered","2023-08-22","","AsureQuality Limited","No","","","","","368 Kings Road","Leeston","Selwyn District Council","1","Selwyn District Council","368","N/A","Animal Consumption, Human Consumption, Not for human or animal consumption","Dairy material, Dairy products, Fermented milk products, Milk & cream based formulations","","Blending/mixing, Formulation, Labelling, Packing/repacking, Product Development, Refrigerated storage (processes & receives external product), Thermal processing other than in-container retorting/UHT, Transport",""
"3BEE01/01","Risk Management Programme","Bee products - Bulk honey storage","3 Bee Limited","","9429045987700","Registered","2020-04-14","","AsureQuality Limited","No","","","","","100 Teapot Valley Road, Brightwater","Nelson","Nelson City Council","1","Nelson City Council","N/A","N/A","Human Consumption","Bee products","","Non-refrigerated storage (stand-alone), Transport",""
"3GGV3NTUR3/01","Risk Management Programme","Eggs","Eggventurers Limited","","9429051476908","Registered","2023-09-12","","VeritAg Limited","No","","","","","234 Ica Road, Whareama","Masterton","Masterton District Council","1","Masterton District Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Transport",""
"3XT/01","Risk Management Programme","Bee products - Bulk honey storage","Too-Ticki Limited","","9429047078581","Registered","2023-05-25","","AsureQuality Limited","No","","","","","1014 Tairua Road","Whangamata","Hauraki District Council","1","Hauraki District Council","N/A","N/A","Human Consumption","Bee products, Beeswax, Comb honey, Honey","","Extraction, Melting, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Transport",""
"470/01","Risk Management Programme","Custom","NZAgbiz Limited","","9429034894385","Registered","2023-01-12","","AsureQuality Limited","No","","","","","2A King Street","Temuka","Ashburton District Council","1","Ashburton District Council","470","N/A","Animal Consumption","Dairy products","","Blending/mixing, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking",""
"517/01","Risk Management Programme","Custom","Alaron Products Limited","","9429038762130","Registered","2023-02-08","","Ministry for Primary Industries - Verification Services","No","","","","","13 Bolt Road, Tahunanui","Nelson","Nelson City Council","1","Nelson City Council","517","N/A","Animal Consumption, Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Caseinate, Colostrum products, Complex lipids, Dairy products, Deer Velvet, Eggs, Fish, Hydrolysates, Lactose, Milk powders, Milk proteins, Nutritional powders excl IF & FOF, Poultry, Propolis, Red meat, Speciality powders, Whey products","","Blending/mixing, Blending/mixing;Size reduction;Supplement manufacture, Blending/mixing;Supplement manufacture, Collection, Drying/reduction of water activity, Encapsulation/tabletting, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product), Packing/repacking, Processing, Product Development, Refrigerated storage (processes & receives external product), Size reduction, Supplement manufacture",""
"5704794/01","Risk Management Programme","Eggs","Y.TQ Investment Limited","","9429041762042","Registered","2021-11-24","","Ministry for Primary Industries - Verification Services","No","","","","","675 Gorge Road","Maungaturoto","Kaipara District Council","2","Auckland Council, Kaipara District Council","N/A","N/A","Human Consumption","Eggs","Candling, Harvesting, Packing","Washing",""
"588/01","Risk Management Programme","Custom","Danone Nutricia NZ Limited","","9429039599360","Registered","2021-10-08","","AsureQuality Limited","No","","","","","Corner Clutha Valley and Craig Road","Balclutha","Clutha District Council","1","Clutha District Council","588","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Anhydrous milk fat, Dairy products, Follow-on formula, Infant formula, Milk powders, Nutritional powders excl IF & FOF","","Blending/mixing, Drying/reduction of water activity, Evaporation, Formulation, Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking, Separation, Thermal processing other than in-container retorting/UHT, Transport",""
"5BW/01","Risk Management Programme","Bee products - Bulk honey storage, Bee products - Honey and dried pollen processing, Custom","New Zealand Beeswax Limited","","9429039409508","Registered","2015-08-03","","AsureQuality Limited","No","","","","","44 Gladstone Street South","ORARI","Timaru District Council","1","Timaru District Council","N/A","N/A","Human Consumption","Bee products, Beeswax","","Collection, Melting, Non-refrigerated storage (processes & receives external product);Transport",""
"643OKI/01","Risk Management Programme","Eggs","Riverbank Poultry Limited","","9429033578743","Registered","2021-11-16","","Ministry for Primary Industries - Verification Services","No","","","","","643 Otaki Gorge Road","Otaki","Kapiti Coast District Council","1","Kapiti Coast District Council","N/A","N/A","Animal Consumption, Human Consumption","Eggs","Harvesting","Transport",""
"66666/01","Risk Management Programme","Custom","Mega NHS Pharmaceutical Limited","","9429041668306","Registered","2023-02-17","","Ministry for Primary Industries - Verification Services","No","","","","","12 Harbour Ridge Drive, Wiri","Auckland","Auckland Council","1","Auckland Council","66666","N/A","Animal Consumption, Human Consumption, Sensitive Populations","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Colostrum products, Dairy products, Fats/oils, Fish, Milk powders, Non-AP, Nutritional powders excl IF & FOF, Red meat, Speciality powders, Whey products","","Formulation, Formulation;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Supplement manufacture, Formulation;Refrigerated storage (processes & receives external product);Supplement manufacture, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Supplement manufacture",""
