"Establishment number","Name of the operator","Location Address","Mailing Address","Function Codes","Telephone Number","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
45,"LES ALIMENTS VESTAR INC./VESTAR FOODS INC.","6449; RUE ABRAMS   VILLE ST-LAURENT QC H4S 1X9","   "," 3f 6fx 11D","(514) 789-6555 (514) 332-2508/F",45.488762,-73.752772,1,rooftop,"6449 Rue Abrams",,"Saint-Laurent, QC H4S",6449,"Rue Abrams",,,Saint-Laurent,QC,,H4S,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
47,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   MAPLE LEAF FOODS/LES ALIMENTS MAPLE LEAF : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PR�PAR�ES MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : LES ALIMENTS HYGRADE/HYGRADE FOODS : VANCOUVER FANCY MEATS/LES VIANDES PR�PAR�ES VANCOUVER FANCY : BURNS MEATS : GAINER : PRINCIPAL MARQUES : PRINCIPAL MARQUES MEAT COMPANY : BITTNERS : PARMA : COORSH : MAPLE LEAF CONSUMER FOODS : LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : HUB MEAT PACKERS : LARSEN PACKERS : PRIME POULTRY : PRIME MEATS : MAPLE LEAF : TEND-R-FRESH : CLEARVIEW FARMS : ROYCE DUPONT : THE POULTRY COMPANY : MAPLE LEAF POULTRYMAPLE LEAF FOODS","100 ETHEL AVENUE   TORONTO ON M6N 4Z7","   ","1fi 3f 6f 11D","(416) 767-5151 (416) 767-7551/I (416) 767-2113/F",43.668828,-79.47463,1,rooftop,"100 Ethel Ave",,"Toronto, ON M6N",100,"Ethel Ave",,,Toronto,ON,,M6N,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
48,"LES ALIMENTS LEVITTS(CANADA) INC./LEVITTS FOODS (CANADA) INC.","7070 RUE ST. PATRICK   LASALLE QC H8N 1V2","   "," 3fx 6fx 9B/US 11DA","(514) 367-1654 (514) 367-3035/F",45.450461,-73.624805,1,rooftop,"7070 Rue Saint-Patrick",,"Lasalle, QC H8N",7070,"Rue Saint-Patrick",,,Lasalle,QC,,H8N,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
49,"PREMIUM BRANDS OPERATING GP INC.Also Doing Business As Name:   HARVEST MEATS","501 YORK ROAD WEST   YORKTON SK S3N 2V6","P.O. BOX 68   YORKTON SK S3N 2V6"," 3x 6fx 9B/US 11D","(306) 783-9446 (306) 783-9298/F (306) 786-5308/I",51.224946,-102.497781,0.7,street_center,"York Rd W",,"Yorkton, SK S3N",,"York Rd W",,,Yorkton,SK,,S3N,CA,"OpenStreetMap Contributors"
50,"10643475 CANADA INCAlso Doing Business As Name:   DISTRIBUTION GOURMET EXCELLENCE; VOLAILLE EXCLUSIF; VOLAILLE SUPERIEURE; VOLAILLE SAINT-ELZEAR","233; BOUL. ST-ELZ�AR OUEST   LAVAL QC H7L 3N5","   "," 3fx 6fx 11D","(450) 975-8888/T (450) 975-8863/F",45.592061,-73.738369,1,rooftop,"233 Boul Saint-Elzéar W",,"Laval, QC H7L",233,"Boul Saint-Elzéar W",,,Laval,QC,,H7L,CA,Laval
51,"CARGILL LIMITED - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL MEAT SOLUTIONS - GUELPH : CARGILL MEAT SOLUTIONS : CARGILL FOODS : BETTER BEEF - CARGILL MEAT SOLUTIONS","165 DUNLOP DRIVE   GUELPH ON N1L 1P4","   ","1ai 3x 6x 11ACDGKLPQRSVIE","(519) 823-5200 (519) 823-5451/F",43.553938,-80.199385,0.84,nearest_rooftop_match,"110 Dunlop Dr",,"Guelph, ON N1L",110,"Dunlop Dr",,,Guelph,ON,,N1L,CA,"City of Guelph (City of Guelph Open Government Licence Contains information provided by the City of Guelph under an open government license)"
52,"UL CANADA INC.*","307 ORENDA ROAD   BRAMPTON ON L6T 1G4","   "," 6fx",,43.699903,-79.705118,1,rooftop,"307 Orenda Rd",,"Brampton, ON L6T",307,"Orenda Rd",,,Brampton,ON,,L6T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
55,"CAMPBELL COMPANY OF CANADA/COMPAGNIE CAMPBELL DU CANADA*","60 BIRMINGHAM STREET   TORONTO ON M8V 2B8","   "," 2fx 11D","(416) 251-1131 (416) 253-8654/F",43.605124,-79.499515,1,rooftop,"60 Birmingham St",,"Etobicoke, ON M8V",60,"Birmingham St",,,Etobicoke,ON,,M8V,CA,"City of Toronto (Open Government Licence – Toronto Contains information licensed under the Open Government Licence – Toronto)"
58,"WINKLER MEATS LTD.","270 GEORGE STREET   WINKLER MB R6W 3M4","270 GEORGE STREET   WINKLER MB R6W 3M4","1adhi 2x 3x 4Y 6fx 11AD","(204) 325-9593 (204) 325-9350/I (204) 325-5735/F",49.1816,-97.928222,1,rooftop,"270 George St",,"Winkler, MB R6W",270,"George St",,,Winkler,MB,,R6W,CA,Province
59,"9311-5947 Quebec Inc.Also Doing Business As Name:   Les Aliments Kamloop","3775; Boul. De la Grande- All�e   Boisbriand QC J7H 1M6","3775; Boul. De la Grande- All�e   Boisbriand QC J7H 1M6"," 6f(23)","514-774-8736 450-430-0257",45.631209,-73.86277,1,rooftop,"3775 Boul De La Grande-Allée",,"Boisbriand, QC J7H",3775,"Boul De La Grande-Allée",,,Boisbriand,QC,,J7H,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
60,"SOFINA FOODS INC./ ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE","502 BOSWORTH STREET   WYNYARD SK S0A 4T0","100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1","1fi 3f 6f 11DG","(306) 554-2555 (306) 554-3958/F",51.767621,-104.185888,0.79,nearest_rooftop_match,"401 Bosworth St",,"Wynyard, SK S0A",401,"Bosworth St",,,Wynyard,SK,,S0A,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
62,"GRIFFITH FOODS LIMITED / ALIMENTS GRIFFITH LIMITEE","757 PHARMACY AVENUE   TORONTO ON M1L 3J8","   "," 6fx 11D","(416) 288-3050 (416) 288-3417/I (416) 288-3481/F",43.718664,-79.294513,1,rooftop,"757 Pharmacy Ave",,"Scarborough, ON M1L",757,"Pharmacy Ave",,,Scarborough,ON,,M1L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
63,"6583106 Manitoba Limited .Also Doing Business As Name:   Northern Goose Processors","103 First Street SW   Teulon MB R0C 3B0","115 Glen Scarlett Road   Toronto ON M6N 1P5","1f 4Y 8Y 11D",416-766-4142,50.385417,-97.265641,1,rooftop,"103 1st St SW",,"Teulon, MB R0C",103,"1st St SW",,,Teulon,MB,,R0C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
64,"EXCELDOR COOPERATIVE","1081 RUE PARENT   ST-BRUNO-DE-MONTARVILLE QC J3V 6L7","   "," 3f 6f 11D","(450) 441-7902 (450) 441-6235/F",45.527749,-73.370714,1,rooftop,"1081 Rue Parent",,"Saint-Bruno, QC J3V",1081,"Rue Parent",,,Saint-Bruno,QC,,J3V,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
65,"SUNRISE POULTRY PROCESSORS LTD.","5204-80TH AVENUE   TABER AB T1G 2E1","13542 73A AVENUE   SURREY BC V3W 1C9","1f 3f 6f 11D","(403) 223-4502 (403) 223-7497/F (403) 223-8080/I",49.814585,-112.146782,1,rooftop,"5204 80th Ave",,"Taber, AB T1G",5204,"80th Ave",,,Taber,AB,,T1G,CA,"Province (Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP))"
66,"SUNNYMEL LIMITED PARTNERSHIP / SUNNYMEL; SOCIETE EN COMMANDITEAlso Doing Business As Name:   OLYMEL S.E.C./OLYMEL L.P. : OLYMEL S.E.C./L.P.","465 RUE PRINCIPALE   CLAIR NB E7A 2G6","9 WESTCO ROAD   ST-FRANCOIS DE MADAWASKA NB E7A 1H5","1fi 3f 6f 11D","(506) 992-2076 (506) 992-2113/F",47.262006,-68.597893,0.9,range_interpolation,"465 Principale Rue",,"Clair, NB E7A",465,"Principale Rue",,,Clair,NB,,E7A,CA,"Address Ranges"
67,"PRODUITS ALIMENTAIRES VIAU INC.-VIAU FOOD PRODUCTS INC.","6625; RUE ERNEST-CORMIER   LAVAL QC H7C 2V2","   "," 6x 9B 11ADF","(450) 665-6100 (450) 665-7100/F",45.63195,-73.650662,1,rooftop,"6625 Rue Ernest-Cormier",,"Laval, QC H7C",6625,"Rue Ernest-Cormier",,,Laval,QC,,H7C,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
68,"DELI-PORC INC.Also Doing Business As Name:   LES ENTREPOTS S.A.C. (2000) INC. / S.A.C. STORAGE INC. : LES VIANDES OR-FIL INTERNATIONAL INC.","1805 BOUL. INDUSTRIEL   LAVAL QC H7S 1P5","   "," 3x 6x 9B/US 11ADFGKQRSVI 12Y","(450) 628-3221 (450) 628-7996/F",45.57326,-73.721672,1,rooftop,"1805 Boul Industriel",,"Laval, QC H7S",1805,"Boul Industriel",,,Laval,QC,,H7S,CA,Laval
069B,"MAPLE LEAF FOODS INC./LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CANA FOODS : PRIME POULTRY : MAPLE LEAF POULTRY: FLEETWOOD SAUSAGE: MAPLE LEAF MEATS:MAPLE LEAF PREPARED MEATS: SHOPSY'S fOODS: VANCOUVER FANCY MEATS: MAPLE LEAF PORK: MAPLE LEAF FRESH FOODS: J.M. SCHEIDER: MITCHELL'S GOURMET FOODS; SCHNEIDER FOODS: MAPLE LEAF CONSUMER FOODS: CLEARVIEW TURKEY FARMS: LARSEN PACKERS: THAMES VALLEY PROCESSORS: CAPPOLA FOOD: COLD SPRING FARM: MAPLE LEAF FOOD SERVICE: MAPLE LEAF FOODS: MINA: MINA FOODS: GREENFIELD: GREENFIELD NATURAL MEATS: DEVOUR JERKLY","100 MCLEOD AVENUE   SASKATOON SK S7M 5V9","6895 FINANCIAL DRIVE   MISSISSAUGA ON L5N 0A1"," 6fx 11AD","(306) 978-3600 (306) 975-6447/I (306) 931-4315/F",52.110874,-106.712483,1,rooftop,"100 McLeod Ave",,"Saskatoon, SK S7M",100,"McLeod Ave",,,Saskatoon,SK,,S7M,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
70,"ALIMENTS SUNCHEF INC./SUNCHEF FOODS INC.Also Doing Business As Name:   SERVICE ALIMENTAIRE SUNCHEF : LES ALIMENTS SUNCHEF : LES VOLAILLES SUNCHEF","9750; BOUL DES SCIENCES   ANJOU QC H1J 0A1","   "," 3fx 6fx 11AD","(514) 272-3238 (514) 272-6276/F",45.625554,-73.551405,1,rooftop,"9750 Boul Des Sciences",,"Anjou, QC H1J",9750,"Boul Des Sciences",,,Anjou,QC,,H1J,CA,Montreal
71,"SURE FRESH FOODS INC.Also Doing Business As Name:   CERICOLA FARMS","LOTS 4 & 5; CONCESSION 3 WEST GWILLUMBURY TOWNSHIP  SIMCOE COUNTY ON L3Z 2A4","3855 4TH LINE; BOX 1329   BRADFORD ON L3Z 2A4","1fi 11D","(905) 939-2962 (905) 939-8423/F",42.824822,-80.30737,0.49,place,,,"Simcoe, ON N3Y",,,,,Simcoe,ON,,N3Y,CA,"CanVec+ by Natural Resources Canada"
74,"VIANDES RIENDEAU LTEEAlso Doing Business As Name:   ALI-PRO DISTRIBUTION LTEE; LES ENTREPOTS FRIGORIFIQUES RIENDEAU INC.","399 RUE DES INDUSTRIES   REPENTIGNY QC J5Z 4Y8","   "," 3fx 6fx 11D","(450) 654-6262 (450) 654-4796/F",45.752743,-73.478498,1,rooftop,"399 Rue Des Industries",,"Repentigny, QC J5Z",399,"Rue Des Industries",,,Repentigny,QC,,J5Z,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
76,"VIANDE RICHELIEU INC./RICHELIEU MEAT INC.","595 RUE ROYALE   MASSUEVILLE QC J0G 1K0","C.P. 101   MASSUEVILLE QC J0G 1K0","1abehi 3x 5Y 6x 11ADGHLR","(450) 788-2667 (450) 788-2622/F (450) 788-2061/I",45.914812,-72.927428,1,rooftop,"595 Rue Royale",,"Saint-Aime, QC J0G",595,"Rue Royale",,,Saint-Aime,QC,,J0G,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
79,"MAITRE SALADIER; INC.","1755; BOULEVARD LIONEL-BERTRAND   BOISBRIAND QC J7H 1N8","   "," 6fx 11D","(450) 435-0674 (450) 435-0363/F",45.61709,-73.853321,1,rooftop,"1755 Boul Lionel-Bertrand",,"Boisbriand, QC J7H",1755,"Boul Lionel-Bertrand",,,Boisbriand,QC,,J7H,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
80,"ATRAHAN TRANSFORMATION INC.Also Doing Business As Name:   OLYMEL S.E.C./OLYMEL L.P. ; OLYMEL S.E.C./L.P.","860 CHEMIN DES ACADIENS   YAMACHICHE QC G0X 3L0","   ","1d 3x 5Y 6x 11ADFGKQSVI","(819) 296-3791 (819) 296-3364/F",46.320259,-72.812192,0.5,place,,,"Yamachiche, QC G0X",,,,,Yamachiche,QC,,G0X,CA,"CanVec+ by Natural Resources Canada"
84,"ALIMENTS PASTA ROMANA INC./PASTA ROMANA FOODS INC.","11430; BOULEVARD ALBERT-HUDON   MONTR�AL-NORD QC H1G 3J8","   "," 6fx 11D","(514) 494-4767 (514) 494-5148/F",45.614068,-73.608844,1,rooftop,"11430 Albert-Hudon Blvd",,"Montreal-Nord, QC H1G",11430,"Albert-Hudon Blvd",,,Montreal-Nord,QC,,H1G,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
85,"HAYTER'S TURKEY PRODUCTS INC.","37451 DASHWOOD ROAD LOT 25; NORTH BOUNDARY  MUNICIPALITY OF SOUTH HURON ON N0M 1N0","R.R. #2   DASHWOOD ON N0M 1N0","1fi 3f 6f 11AD","(519) 237-3561 (519) 237-3460/F (519) 237-3158/I",43.344087,-81.652712,0.5,place,,,"Dashwood, ON N0M",,,,,Dashwood,ON,,N0M,CA,"CanVec+ by Natural Resources Canada"
86,"ARTIC BLAST MTL INC.Also Doing Business As Name:   TGV DISTRIBUTIONS : ALIMENTATION DYNAMIC INC.; 3861864 CANADA INC.","565; RUE FERNAND-POITRAS   TERREBONNE QC J6Y 1Y5","   "," 3fx 6fx 9B 11ADGRSV","(450) 628-9222 (450) 973-9121/F",45.688053,-73.770731,1,rooftop,"565 Rue Fernand-Poitras",,"Terrebonne, QC J6Y",565,"Rue Fernand-Poitras",,,Terrebonne,QC,,J6Y,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
88,"EXCELDOR COOP�RATIVE","125 RUE STE-ANNE   ST-DAMASE QC J0H 1J0","   ","1f 3f 11DG","(450) 797-3331 (450) 797-3528/F (450) 797-2262/I",45.536881,-72.963052,1,place,,,"Saint-Damase, QC J0H",,,,,Saint-Damase,QC,,J0H,CA,"CanVec+ by Natural Resources Canada"
89,"VOLAILLE GIANNONE INC./GIANNONE POULTRY INC.","232O PRINCIPALE   ST-CUTHBERT QC J0K 2C0","   ","1fi 3f 6f 11DV","(450) 836-3063/I (450) 836-1508/F (450) 836-3063",46.15141,-73.227993,0.75,nearest_rooftop_match,"2320 Rue Principale",,"Saint-Cuthbert, QC J0K",2320,"Rue Principale",,,Saint-Cuthbert,QC,,J0K,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
92,"SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE FOODS INC.","7727 - 127 AVE.   EDMONTON AB T5C 1R9","100 COMMERCE VALLEY DRIVE WEST   MARKHAM ON L3T 0A1","1f 3f 6f 11DG","(780) 472-1610 (780) 472-4872/F (780) 472-4835/I",53.58466,-113.461945,1,place,,,"Edmonton, AB T5C",,,,,Edmonton,AB,,T5C,CA,"CanVec+ by Natural Resources Canada"
092C,"SOFINA FOODS INC./ALIMENTS SOFINA INC.","31894 MARSHALL ROAD   ABBOTSFORD BC V2T 5Z9","100 COMMERCE VALLEY DRIVE WEST   MARHAM ON L3T 0A1","1f 3f 6f 11DG","(604) 850-2633 (604) 850-7878/F (604) 850-8913/I",49.037647,-122.339992,1,rooftop,"31894 Marshall Pl",,"Abbotsford, BC V2T",31894,"Marshall Pl",,,Abbotsford,BC,,V2T,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
092D,"SOFINA FOODS INC./ALIMENTS SOFINA INC.Also Doing Business As Name:   LILYDALE","1910 KINGSWAY STREET   PORT COQUITLAM BC V3C 1S7","   ","1f 3f 6f 11ADG","(604) 941-4041 (604) 941-7466/F",49.25573,-122.769443,0.93,rooftop,"1910 Kingsway Ave",,"Port Coquitlam, BC V3C",1910,"Kingsway Ave",,,"Port Coquitlam",BC,,V3C,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
93,"CARGILL LIMITED  - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL FOODS : CARGILL MEAT SOLUTIONS : TAYLOR PACKING CO.","472 AVENUE & HIGHWAY 2A NORTH   HIGH RIVER AB T1V 1P4","P.O. BAG 3850   HIGH RIVER AB T1V 1P4","1a 3x 4Y 6x 8Y 11ACDGKLPQRSVI","(403) 652-4688 (403) 601-8885/F (403) 652-8414/I",50.584403,-113.90201,0.5,place,,,"High River, AB T1V",,,,,"High River",AB,,T1V,CA,"CanVec+ by Natural Resources Canada"
093B,"CARGILL LIMITED - CARGILL LIMITEEAlso Doing Business As Name:   CARGILL FOODS/LES ALIMENTS CARGILL","7901; RUE SAMUEL-HATT   CHAMBLY QC J3L 6V7","   "," 3fx 6fx 11D","(450) 447-4600 (450) 447-9611/F (450) 447-4672/I",45.415948,-73.283876,1,rooftop,"7901 Rue Samuel-Hatt",,"Chambly, QC J3L",7901,"Rue Samuel-Hatt",,,Chambly,QC,,J3L,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
94,"FRIGO ROYAL (1998) INC.Also Doing Business As Name:   Exp�di-Go Transit","3100 RUE BOUTHILLIER   ST-HYACINTHE QC J2S 2A3","3150 RUE BOUTHILLIER   ST-HYACINTHE QC J2S 7P2"," 6fx 9B 11ADFGHQRSV 12Y","(450) 773-9565 (450) 773-8305/F",45.622819,-72.966955,1,rooftop,"3100 Rue Bouthillier",,"Saint-Hyacinthe, QC J2S",3100,"Rue Bouthillier",,,Saint-Hyacinthe,QC,,J2S,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
96,"MONTPAK INTERNATIONAL INC.Also Doing Business As Name:   MONTPAK INTERNATIONAL-ECOLAIT-DELFTBLUE-VEAU DES PLAINES-VEAU CHARLEVOIX-VIVO-SIMPLY VEAL","1591 CHEMIN STE-CLAIRE   TERREBONNE QC J7M 1M2","5730; PLACE MAURICE CULLEN   LAVAL QC H7C 2V1","1bij 3x 6x 11ABCDKLM","(450) 478-2055/T (450) 478-4589/F (   )    -",45.767632,-73.740644,0.5,place,,,"Terrebonne, QC J7M",,,,,Terrebonne,QC,,J7M,CA,"CanVec+ by Natural Resources Canada"
100,"AURPAL INC.","1661; RUE MARCOUX   MARIEVILLE QC J3M 1E8","   "," 2fgx 3fgx 6fgx 11AD","(450) 460-2107 (450) 460-2963/F",45.426927,-73.154796,1,rooftop,"1661 Rue Marcoux",,"Marieville, QC J3M",1661,"Rue Marcoux",,,Marieville,QC,,J3M,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
101,"SOFINA FOODS INC./ALIMENTS SOFINA INC.*Also Doing Business As Name:   SOFINA FOODS","147 JOHN STREET   DUBLIN ON N0K 1E0","P.O. BOX 38   DUBLIN ON N0K 1E0","1f 11ADG","(519) 345-2270 (519) 345-2380/I (519) 345-2231/F",43.402811,-81.049443,1,range_interpolation,"147 Jean St",,"Sebringville, ON N0K",147,"Jean St",,,Sebringville,ON,,N0K,CA,"Address Ranges"
102,"GROUPE ASYGO INC.","196 BOUL. BRUNSWICK   POINTE-CLAIRE QC H9R 5P9","   "," 6fx 11D","(514) 587-6606/T (514) 587-6690/F",45.470898,-73.821681,1,rooftop,"196 Boul Brunswick",,"Pointe-Claire, QC H9R",196,"Boul Brunswick",,,Pointe-Claire,QC,,H9R,CA,Montreal
104,"THE NEW ZEALAND AND AUSTRALIAN LAMB COMPANY LIMITED/LA COMPAGNIE D'AGNEAU DEAlso Doing Business As Name:   NOUVELLE-Z�LANDE ET D'AUSTRALIE LIMIT�E / THE LAMB COMPANY","10 SHORNCLIFFE ROAD; UNIT 3   TORONTO ON M9B 3S3","   "," 3x 6x 9B 11DK","(416) 231-5262 (416) 231-8934/F",43.63107,-79.544681,1,rooftop,"10 Shorncliffe Rd","Unit 3","Etobicoke, ON M9B",10,"Shorncliffe Rd",Unit,3,Etobicoke,ON,,M9B,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
106,"BLUE BUOY FOODS LIMITED","284 KENMOUNT ROAD   ST. JOHN'S NL A1B 3N9","P.O. BOX 8487   ST. JOHN'S NL A1B 3N9"," 3x 6x 11AD","(709) 754-1060 (709) 739-6412/F",47.551648,-52.775962,1,range_interpolation,"284 Kenmount Rd",,"St. John's, NL A1B",284,"Kenmount Rd",,,"St. John's",NL,,A1B,CA,"Address Ranges"
107,"LES ALIMENTS PEK (1997) INC.","11745; 6 IEME AVENUE   MONTR�AL QC H1E 1R8","   "," 3f 11D","(514) 494-7957 (514) 494-1948/F",45.623021,-73.599893,0.9,rooftop,"11745 6E Ave",,"Montreal, QC H1E",11745,"6E Ave",,,Montreal,QC,,H1E,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
111,"GROUPE COLABOR INC.Also Doing Business As Name:   VIANDES LAUZON","2715 RUE DE READING   MONTREAL QC H3K 1P7","   "," 3x 6fx 9B/US 11AKD","(514) 937-8571 (514) 937-5958/F",45.475606,-73.567739,1,rooftop,"2715 Rue De Reading",,"Montreal, QC H3K",2715,"Rue De Reading",,,Montreal,QC,,H3K,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
112,"BELMONT MEAT PRODUCTS LIMITED","230 SIGNET DRIVE   TORONTO ON M9L 1V2","   "," 3x 6fx 9B/US 11ADG","(416) 749-7250 (416) 749-0604/F (416) 749-7250/I",43.766163,-79.54212,1,rooftop,"230 Signet Dr",,"North York, ON M9L",230,"Signet Dr",,,"North York",ON,,M9L,CA,"Countrywide (Adapted from Statistics Canada, National Address Register, 2024-05-11. This does not constitute an endorsement by Statistics Canada of this product.)"
113,"LES VIANDES C.D.S. INC.","224 BOUL. J.R. THEBERGE   CHICOUTIMI QC G7J 4V9","598 BOUL. SAGUENAY OUEST   CHICOUTIMI QC G7J 1H4"," 3fx 6fx 11D","(418) 549-5817 (418) 549-1483/F",48.430199,-71.089026,0.87,rooftop,"224 Rue J -r -théberge",,"Chicoutimi, QC G7J",224,"Rue J -r -théberge",,,Chicoutimi,QC,,G7J,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
113A,"LES VIANDES C.D.S. INC.","1808 AVENUE LAVOIE   CHICOUTIMI QC G7H 7S9","598; BOUL. SAGUENAY OUEST   CHICOUTIMI QC G7J 1H4"," 3x 6x 11D","(418) 545-9614 (418) 545-9694/F",48.390965,-70.979796,1,rooftop,"1808 Rue Lavoie",,"Chicoutimi, QC G7H",1808,"Rue Lavoie",,,Chicoutimi,QC,,G7H,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
116,"MAPLE LEAF FOODS INC./ LES ALIMENTS MAPLE LEAF INC.Also Doing Business As Name:   CLEARVIEW FARMS : COLD SPRINGS FARM : COORSH : GAINERS : HUB MEAT PACKERS : HUB MEATS/LES VIANDES HUB : J.M. SCHNEIDER : LARSEN PACKERS : LES ALIMENTS HYGRADES/HYGRADE FOODS : MAPLE LEAF CONSUMER FOODS/LES ALIMENTS DE CONSOMMATION MAPLE LEAF : MAPLE LEAF FOOD SERVICE/SERVICE ALIMENTAIRE MAPLE LEAF : MAPLE LEAF FRESH FOODS : MAPLE LEAF MEATS/LES VIANDES MAPLE LEAF : MAPLE LEAF PORK/PORC MAPLE LEAF : MAPLE LEAF POULTRY/VOLAILLE MAPLE LEAF : MAPLE LEAF PREPARED MEATS/LES VIANDES PR�PAR�ES MAPLE LEAF : MITCHELL'S GOURMET FOODS : PARMA : PRIME MEATS : PRIME POULTRY : PRINCIPAL MARQUES MEAT COMPANY : ROYCE DUPONT : SCHNEIDER FOODS/LES ALIMENTS SCHNEIDER : SHOPSYS : SHOPSY'S FOODS/LES ALIMENTS SHOPSY'S : TEND-R-FRESH : THAMES VALLEY PROCESSORS : THE POULTRY COMPANY : VANCOUVER FANCY MEATS/LES VIANDES PR�PAR�ES VANCOUVER FANCY","500; RUE LABONT�   DRUMMONDVILLE QC J2C 6X9","   ","1fi 11AD","(819) 471-5000 (   )    - (   )    -",45.873008,-72.544023,1,rooftop,"500 Rue Labonté",,"Drummondville, QC J2C",500,"Rue Labonté",,,Drummondville,QC,,J2C,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
121,"VAN HESSEN CANADA INC.Also Doing Business As Name:   INTERNATIONAL CASINGS GROUP CANADA INC.","620 WRIGHT STREET   ST. LAURENT; MONTREAL QC H4N 1M6","   "," 5Y 9C/US 11AHKC","(514) 332-1122 (514) 332-5952/F",45.529078,-73.662081,1,rooftop,"620 Rue Wright",,"Saint-Laurent, QC H4N",620,"Rue Wright",,,Saint-Laurent,QC,,H4N,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
122,"LES ALIMENTS PIZZA ROMANA INC.","2900; RUE LOUIS-A.-AMOS   LACHINE QC H8T 3K6","   "," 6fx","(514) 631-9275 (514) 631-8917/F",45.465429,-73.703408,1,rooftop,"2900 Rue Louis-A -amos",,"Lachine, QC H8T",2900,"Rue Louis-A -amos",,,Lachine,QC,,H8T,CA,"Province (Le ministère des Ressources naturelles et des Forêts CC BY 4.0)"
